,province,over_60_1st_dose,total_1st_dose,total_2nd_dose,total_3rd_dose,date
0,กระบี่,44621,349026,318841,22162,2021-11-28T12:22
1,กรุงเทพมหานคร,1179080,8970531,7924770,960743,2021-11-28T12:22
2,กาญจนบุรี,67644,474792,425322,10349,2021-11-28T12:22
3,กาฬสินธุ์,102491,457342,361686,12286,2021-11-28T12:22
4,กำแพงเพชร,75438,379770,330728,12006,2021-11-28T12:22
5,ขอนแก่น,189572,990504,822032,40334,2021-11-28T12:22
6,จันทบุรี,62527,385892,322822,20152,2021-11-28T12:22
7,ฉะเชิงเทรา,84333,623864,500280,31467,2021-11-28T12:22
8,ชลบุรี,157261,1829020,1669925,113455,2021-11-28T12:22
9,ชัยนาท,44364,175789,140416,7236,2021-11-28T12:22
10,ชัยภูมิ,127425,560872,456910,20708,2021-11-28T12:22
11,ชุมพร,57699,317715,247746,9424,2021-11-28T12:22
12,ตรัง,76869,442289,376371,21697,2021-11-28T12:22
13,ตราด,26316,160911,142080,9130,2021-11-28T12:22
14,ตาก,46966,343063,252880,43290,2021-11-28T12:22
15,นครนายก,27549,141843,127923,11174,2021-11-28T12:22
16,นครปฐม,81116,612202,585031,27969,2021-11-28T12:22
17,นครพนม,58950,329837,259167,10777,2021-11-28T12:22
18,นครราชสีมา,255797,1610454,1397057,134910,2021-11-28T12:22
19,นครศรีธรรมราช,188819,987031,749845,31855,2021-11-28T12:22
20,นครสวรรค์,131701,587154,525869,20701,2021-11-28T12:22
21,นนทบุรี,127811,1062976,926544,165134,2021-11-28T12:22
22,นราธิวาส,48201,411744,320261,19675,2021-11-28T12:22
23,น่าน,67143,274149,223041,7200,2021-11-28T12:22
24,บึงกาฬ,32095,192019,146425,4876,2021-11-28T12:22
25,บุรีรัมย์,186225,950419,812294,94165,2021-11-28T12:22
26,ปทุมธานี,126286,1245780,1089535,49898,2021-11-28T12:22
27,ประจวบคีรีขันธ์,57929,389591,344516,19156,2021-11-28T12:22
28,ปราจีนบุรี,48129,341179,299033,14611,2021-11-28T12:22
29,ปัตตานี,42281,377219,294606,17131,2021-11-28T12:22
30,พระนครศรีอยุธยา,83930,598316,556911,28870,2021-11-28T12:22
31,พะเยา,71463,281156,241600,12023,2021-11-28T12:22
32,พังงา,33686,207066,190367,22879,2021-11-28T12:22
33,พัทลุง,67612,295281,259161,11855,2021-11-28T12:22
34,พิจิตร,70641,284175,251163,13515,2021-11-28T12:22
35,พิษณุโลก,92917,516954,439304,23135,2021-11-28T12:22
36,ภูเก็ต,45195,472731,456522,260037,2021-11-28T12:22
37,มหาสารคาม,104579,474873,387068,14032,2021-11-28T12:22
38,มุกดาหาร,31390,191335,153482,9792,2021-11-28T12:22
39,ยะลา,37194,341631,279395,15034,2021-11-28T12:22
40,ยโสธร,56795,253281,207730,7538,2021-11-28T12:22
41,ระนอง,21215,174964,150737,22140,2021-11-28T12:22
42,ระยอง,66354,698976,607571,28850,2021-11-28T12:22
43,ราชบุรี,79644,474690,442766,21296,2021-11-28T12:22
44,ร้อยเอ็ด,140720,620750,510573,19846,2021-11-28T12:22
45,ลพบุรี,73051,378026,350154,17315,2021-11-28T12:22
46,ลำปาง,104412,405677,353255,14121,2021-11-28T12:22
47,ลำพูน,55181,281180,241595,7653,2021-11-28T12:22
48,ศรีสะเกษ,151978,714853,582430,20238,2021-11-28T12:22
49,สกลนคร,90518,522187,429266,17520,2021-11-28T12:22
50,สงขลา,166140,1097787,924756,85880,2021-11-28T12:22
51,สตูล,26164,179290,156319,9095,2021-11-28T12:22
52,สมุทรปราการ,132947,1546273,1301267,118265,2021-11-28T12:22
53,สมุทรสงคราม,21976,99519,90888,7954,2021-11-28T12:22
54,สมุทรสาคร,63372,847323,728970,77557,2021-11-28T12:22
55,สระบุรี,61987,443754,420784,24991,2021-11-28T12:22
56,สระแก้ว,47220,289874,236193,13661,2021-11-28T12:22
57,สิงห์บุรี,29822,118532,109608,6928,2021-11-28T12:22
58,สุพรรณบุรี,88041,439185,384858,22898,2021-11-28T12:22
59,สุราษฎร์ธานี,115788,803312,634666,69108,2021-11-28T12:22
60,สุรินทร์,143741,665478,570541,26995,2021-11-28T12:22
61,สุโขทัย,75552,312292,276900,12611,2021-11-28T12:22
62,หนองคาย,51313,278403,240056,13382,2021-11-28T12:22
63,หนองบัวลำภู,45481,229464,179004,5560,2021-11-28T12:22
64,อำนาจเจริญ,39508,200756,169140,7197,2021-11-28T12:22
65,อุดรธานี,155181,871795,749529,28407,2021-11-28T12:22
66,อุตรดิตถ์,66998,270768,233616,10573,2021-11-28T12:22
67,อุทัยธานี,33889,175705,157854,8356,2021-11-28T12:22
68,อุบลราชธานี,179992,981650,786579,31344,2021-11-28T12:22
69,อ่างทอง,36740,151328,122285,8652,2021-11-28T12:22
70,เชียงราย,167203,762735,602631,27041,2021-11-28T12:22
71,เชียงใหม่,249642,1411461,1107141,70670,2021-11-28T12:22
72,เพชรบุรี,53072,332205,298045,23168,2021-11-28T12:22
73,เพชรบูรณ์,115904,532256,462729,23520,2021-11-28T12:22
74,เลย,71976,360185,306218,8579,2021-11-28T12:22
75,แพร่,52785,230089,197125,6744,2021-11-28T12:22
76,แม่ฮ่องสอน,16301,120279,94421,4464,2021-11-28T12:22
