,province,over_60_1st_dose,total_1st_dose,total_2nd_dose,total_3rd_dose,date
0,กระบี่,44621,349022,318835,22163,2021-11-27T12:22
1,กรุงเทพมหานคร,1178153,8955572,7916116,947603,2021-11-27T12:22
2,กาญจนบุรี,67507,473282,424440,10324,2021-11-27T12:22
3,กาฬสินธุ์,101952,454127,360546,12182,2021-11-27T12:22
4,กำแพงเพชร,75362,379285,330455,11884,2021-11-27T12:22
5,ขอนแก่น,188922,987768,819195,40158,2021-11-27T12:22
6,จันทบุรี,62423,385209,322743,19148,2021-11-27T12:22
7,ฉะเชิงเทรา,84240,622454,499243,29696,2021-11-27T12:22
8,ชลบุรี,156906,1824132,1667728,112370,2021-11-27T12:22
9,ชัยนาท,44102,175005,140416,7236,2021-11-27T12:22
10,ชัยภูมิ,127106,559593,455495,20691,2021-11-27T12:22
11,ชุมพร,57650,317221,246441,9409,2021-11-27T12:22
12,ตรัง,76817,442051,376239,21689,2021-11-27T12:22
13,ตราด,26316,160850,141481,9124,2021-11-27T12:22
14,ตาก,46616,340145,251283,43151,2021-11-27T12:22
15,นครนายก,27525,141604,127922,11159,2021-11-27T12:22
16,นครปฐม,81094,611464,584305,27851,2021-11-27T12:22
17,นครพนม,58328,327202,258799,10751,2021-11-27T12:22
18,นครราชสีมา,255562,1608391,1395197,134510,2021-11-27T12:22
19,นครศรีธรรมราช,187663,982182,747910,31582,2021-11-27T12:22
20,นครสวรรค์,131371,585501,525017,20553,2021-11-27T12:22
21,นนทบุรี,127468,1054413,925991,165040,2021-11-27T12:22
22,นราธิวาส,48184,411370,319740,19658,2021-11-27T12:22
23,น่าน,67085,273931,223000,7199,2021-11-27T12:22
24,บึงกาฬ,32027,191530,146260,4874,2021-11-27T12:22
25,บุรีรัมย์,185971,949281,811236,93966,2021-11-27T12:22
26,ปทุมธานี,126270,1245396,1084551,49689,2021-11-27T12:22
27,ประจวบคีรีขันธ์,57800,388525,343585,19143,2021-11-27T12:22
28,ปราจีนบุรี,48125,340743,298581,14589,2021-11-27T12:22
29,ปัตตานี,42275,377083,294162,17120,2021-11-27T12:22
30,พระนครศรีอยุธยา,83891,598049,556287,26886,2021-11-27T12:22
31,พะเยา,71416,281066,241596,12017,2021-11-27T12:22
32,พังงา,33681,207011,190362,22851,2021-11-27T12:22
33,พัทลุง,67585,295077,258881,11848,2021-11-27T12:22
34,พิจิตร,70543,283524,250874,13120,2021-11-27T12:22
35,พิษณุโลก,92692,516481,439080,23135,2021-11-27T12:22
36,ภูเก็ต,45195,472731,456521,260036,2021-11-27T12:22
37,มหาสารคาม,104500,474422,385281,14013,2021-11-27T12:22
38,มุกดาหาร,31340,190852,153041,9778,2021-11-27T12:22
39,ยะลา,37176,341427,279161,14932,2021-11-27T12:22
40,ยโสธร,56714,252903,207651,7533,2021-11-27T12:22
41,ระนอง,21215,174963,150737,22140,2021-11-27T12:22
42,ระยอง,66285,696724,606102,28762,2021-11-27T12:22
43,ราชบุรี,79620,474492,442244,21182,2021-11-27T12:22
44,ร้อยเอ็ด,140455,619020,509024,19773,2021-11-27T12:22
45,ลพบุรี,73019,377861,349308,17262,2021-11-27T12:22
46,ลำปาง,103244,401623,351863,13438,2021-11-27T12:22
47,ลำพูน,55097,280413,240688,7638,2021-11-27T12:22
48,ศรีสะเกษ,151906,714290,581722,20222,2021-11-27T12:22
49,สกลนคร,90376,521526,428726,17510,2021-11-27T12:22
50,สงขลา,166093,1097344,915970,85557,2021-11-27T12:22
51,สตูล,26110,178915,155702,9092,2021-11-27T12:22
52,สมุทรปราการ,132846,1544457,1300093,115138,2021-11-27T12:22
53,สมุทรสงคราม,21814,98321,90195,7599,2021-11-27T12:22
54,สมุทรสาคร,63356,846954,727905,77545,2021-11-27T12:22
55,สระบุรี,61964,443632,420688,24146,2021-11-27T12:22
56,สระแก้ว,47148,289320,236060,13512,2021-11-27T12:22
57,สิงห์บุรี,29789,118388,109604,6893,2021-11-27T12:22
58,สุพรรณบุรี,87947,438366,384786,22698,2021-11-27T12:22
59,สุราษฎร์ธานี,115750,802624,633623,69049,2021-11-27T12:22
60,สุรินทร์,143674,665207,569549,26972,2021-11-27T12:22
61,สุโขทัย,75482,312147,276870,12610,2021-11-27T12:22
62,หนองคาย,51243,277831,239961,13356,2021-11-27T12:22
63,หนองบัวลำภู,45378,229007,178830,5558,2021-11-27T12:22
64,อำนาจเจริญ,39445,200297,168887,7193,2021-11-27T12:22
65,อุดรธานี,154950,869496,748653,28333,2021-11-27T12:22
66,อุตรดิตถ์,65838,266853,232955,10506,2021-11-27T12:22
67,อุทัยธานี,33866,175634,157853,8344,2021-11-27T12:22
68,อุบลราชธานี,177348,972386,785365,31147,2021-11-27T12:22
69,อ่างทอง,36670,151051,122023,8614,2021-11-27T12:22
70,เชียงราย,167100,762315,602339,27035,2021-11-27T12:22
71,เชียงใหม่,249103,1407952,1104210,70441,2021-11-27T12:22
72,เพชรบุรี,53007,331533,297641,22850,2021-11-27T12:22
73,เพชรบูรณ์,115802,531981,462665,23423,2021-11-27T12:22
74,เลย,71945,360028,305895,8570,2021-11-27T12:22
75,แพร่,52338,228386,196704,6731,2021-11-27T12:22
76,แม่ฮ่องสอน,16111,118553,92678,4446,2021-11-27T12:22
