,province,over_60_1st_dose,total_1st_dose,total_2nd_dose,total_3rd_dose,date
0,กระบี่,45561,357308,331303,27478,2021-12-21T18:32
1,กรุงเทพมหานคร,1196571,9227249,8344584,1387469,2021-12-21T18:32
2,กาญจนบุรี,70300,495865,463379,27261,2021-12-21T18:32
3,กาฬสินธุ์,112766,515141,415769,22894,2021-12-21T18:32
4,กำแพงเพชร,79103,395611,363301,14375,2021-12-21T18:32
5,ขอนแก่น,214247,1109669,911108,92929,2021-12-21T18:32
6,จันทบุรี,66057,420176,360997,32849,2021-12-21T18:32
7,ฉะเชิงเทรา,86035,647906,532828,55244,2021-12-21T18:32
8,ชลบุรี,163921,1895672,1761227,193043,2021-12-21T18:32
9,ชัยนาท,47952,189360,174545,18706,2021-12-21T18:32
10,ชัยภูมิ,140540,614598,513876,35392,2021-12-21T18:32
11,ชุมพร,62370,363367,295328,19333,2021-12-21T18:32
12,ตรัง,79376,458690,423924,52229,2021-12-21T18:32
13,ตราด,27076,165912,155657,13759,2021-12-21T18:32
14,ตาก,52693,387789,294094,52020,2021-12-21T18:32
15,นครนายก,29494,150381,137138,15950,2021-12-21T18:32
16,นครปฐม,82890,638070,618134,52759,2021-12-21T18:32
17,นครพนม,72337,387995,279474,17577,2021-12-21T18:32
18,นครราชสีมา,269522,1689225,1536260,242125,2021-12-21T18:32
19,นครศรีธรรมราช,197797,1030304,841407,47087,2021-12-21T18:32
20,นครสวรรค์,138563,615067,570287,31601,2021-12-21T18:32
21,นนทบุรี,130041,1092779,1013387,270204,2021-12-21T18:32
22,นราธิวาส,49110,424960,339896,24254,2021-12-21T18:32
23,น่าน,74814,299711,257647,11433,2021-12-21T18:32
24,บึงกาฬ,37758,224334,161111,8860,2021-12-21T18:32
25,บุรีรัมย์,189094,964563,861805,119931,2021-12-21T18:32
26,ปทุมธานี,128611,1280839,1184439,166739,2021-12-21T18:32
27,ประจวบคีรีขันธ์,59885,404625,370726,21932,2021-12-21T18:32
28,ปราจีนบุรี,50533,366724,329997,42334,2021-12-21T18:32
29,ปัตตานี,43155,388909,311111,20443,2021-12-21T18:32
30,พระนครศรีอยุธยา,88093,622973,585484,108448,2021-12-21T18:32
31,พะเยา,78394,301404,269694,18188,2021-12-21T18:32
32,พังงา,34614,212866,205319,29302,2021-12-21T18:32
33,พัทลุง,70513,309017,283088,28524,2021-12-21T18:32
34,พิจิตร,73295,293155,276330,21317,2021-12-21T18:32
35,พิษณุโลก,101377,552641,496680,68288,2021-12-21T18:32
36,ภูเก็ต,45866,479320,462914,264558,2021-12-21T18:32
37,มหาสารคาม,111910,516884,435498,24040,2021-12-21T18:32
38,มุกดาหาร,34796,212243,171393,14275,2021-12-21T18:32
39,ยะลา,37664,348425,288490,23975,2021-12-21T18:32
40,ยโสธร,64404,292882,232536,14675,2021-12-21T18:32
41,ระนอง,21814,185729,167732,28323,2021-12-21T18:32
42,ระยอง,69259,746147,685566,61773,2021-12-21T18:32
43,ราชบุรี,84187,506573,483480,45817,2021-12-21T18:32
44,ร้อยเอ็ด,154783,687455,584131,35124,2021-12-21T18:32
45,ลพบุรี,79632,406978,370782,44253,2021-12-21T18:32
46,ลำปาง,122995,458316,383015,25010,2021-12-21T18:32
47,ลำพูน,61522,303991,262276,21965,2021-12-21T18:32
48,ศรีสะเกษ,163278,770741,650155,40767,2021-12-21T18:32
49,สกลนคร,107672,610285,463272,25261,2021-12-21T18:32
50,สงขลา,168994,1120404,1039073,130380,2021-12-21T18:32
51,สตูล,27729,191680,172185,15832,2021-12-21T18:32
52,สมุทรปราการ,136148,1598510,1367282,220095,2021-12-21T18:32
53,สมุทรสงคราม,23956,109673,98623,14383,2021-12-21T18:32
54,สมุทรสาคร,66097,887174,792862,93022,2021-12-21T18:32
55,สระบุรี,66143,466513,448500,65514,2021-12-21T18:32
56,สระแก้ว,51011,314089,266747,25340,2021-12-21T18:32
57,สิงห์บุรี,31666,124569,117776,12186,2021-12-21T18:32
58,สุพรรณบุรี,95819,470674,427700,34823,2021-12-21T18:32
59,สุราษฎร์ธานี,120409,850852,744949,89291,2021-12-21T18:32
60,สุรินทร์,154556,705592,626655,43036,2021-12-21T18:32
61,สุโขทัย,79830,329098,296359,20849,2021-12-21T18:32
62,หนองคาย,53351,292266,249748,20653,2021-12-21T18:32
63,หนองบัวลำภู,52838,263826,193817,9006,2021-12-21T18:32
64,อำนาจเจริญ,43027,219073,188729,10476,2021-12-21T18:32
65,อุดรธานี,164278,926855,807152,54359,2021-12-21T18:32
66,อุตรดิตถ์,70089,282923,245293,16158,2021-12-21T18:32
67,อุทัยธานี,35829,185534,170668,10711,2021-12-21T18:32
68,อุบลราชธานี,203185,1095473,887514,65985,2021-12-21T18:32
69,อ่างทอง,39010,159496,141546,14088,2021-12-21T18:32
70,เชียงราย,184036,846976,693806,58010,2021-12-21T18:32
71,เชียงใหม่,268198,1531845,1367002,128505,2021-12-21T18:32
72,เพชรบุรี,58061,349221,310217,34399,2021-12-21T18:32
73,เพชรบูรณ์,123020,559637,490832,50651,2021-12-21T18:32
74,เลย,77467,387680,329838,14690,2021-12-21T18:32
75,แพร่,60376,258258,217670,8920,2021-12-21T18:32
76,แม่ฮ่องสอน,21971,148190,108298,5183,2021-12-21T18:32
